PLAYER,TEAM,POSITION,PTS,FG%,3P%,OREB,DREB,AST,STL,BLK,+/-,AST%,AST/TO,OREB%,DREB%,TO RATIO,TS%,USG%,PIE
George Hill,MIL,G,7.6,45.2,31.4,0.7,1.8,2.3,0.9,0.1,2.4,14.6,2.65,2.8,7.5,8.6,55.4,14.7,7.9
Rodney McGruder,LAC,F-G,7.6,40.3,35.1,0.9,2.7,1.7,0.5,0.2,-0.6,10.3,1.75,3.5,10.6,9.6,51.0,14.7,6.8
Jake Layman,POR,F,7.6,50.9,32.6,0.8,2.3,0.7,0.4,0.4,1.0,5.6,1.15,4.1,11.5,8.3,59.4,15.6,8.2
Shelvin Mack,CHA,G,7.5,40.4,35.4,0.3,1.5,3.2,0.8,0.1,-4.3,24.1,2.77,1.4,6.9,9.6,48.9,17.9,7.7
Dorian Finney-Smith,DAL,F,7.5,43.2,31.1,1.7,3.1,1.2,0.9,0.4,-1.1,7.0,1.28,6.4,11.9,10.0,53.0,13.5,6.9
Dillon Brooks,MEM,G-F,7.5,40.2,37.5,0.5,1.2,0.9,0.6,0.2,-0.9,7.9,0.84,2.8,7.6,11.2,49.9,20.7,3.4
Iman Shumpert,HOU,G,7.5,37.4,34.8,0.4,2.5,1.8,1.0,0.4,-0.7,9.8,2.24,1.6,10.1,8.0,49.9,14.3,5.7
Chandler Parsons,MEM,F,7.5,37.4,30.9,0.2,2.6,1.7,0.8,0.2,-1.8,14.3,1.34,0.7,12.6,11.9,48.4,19.2,6.9
Miles Bridges,CHA,F,7.5,46.4,32.5,0.8,3.2,1.2,0.7,0.6,-1.6,8.1,1.9,3.7,14.8,7.3,54.8,14.7,8.5
Vince Carter,ATL,F-G,7.4,41.9,38.9,0.4,2.1,1.1,0.6,0.4,-2.4,9.7,1.81,2.1,11.4,7.6,56.5,16.4,7.9
Draymond Green,GSW,F,7.4,44.5,28.5,0.9,6.4,6.9,1.4,1.1,7.0,26.1,2.69,3.1,18.0,15.6,52.6,12.8,9.8
Dwayne Bacon,CHA,G-F,7.3,47.5,43.7,0.2,1.9,1.1,0.3,0.1,-0.5,9.2,2.61,1.0,10.5,5.3,57.0,16.7,6.9
Mitchell Robinson,NYK,C,7.3,69.4,0.0,2.7,3.7,0.6,0.8,2.4,-3.1,4.2,1.06,12.2,16.6,8.3,69.2,11.9,11.5
Antonio Blakeney,CHI,G,7.3,41.9,39.6,0.1,1.7,0.7,0.2,0.2,-2.6,7.9,1.2,0.8,11.4,6.9,48.7,24.0,7.3
P.J. Tucker,HOU,F,7.3,39.6,37.7,1.5,4.4,1.2,1.6,0.5,3.0,4.7,1.52,4.1,12.9,8.9,54.7,9.4,5.6
Doug McDermott,IND,F,7.3,49.1,40.8,0.2,1.2,0.9,0.2,0.1,1.7,7.0,1.6,1.2,6.6,7.5,61.7,15.2,7.5
Dirk Nowitzki,DAL,F,7.3,35.9,31.2,0.1,3.0,0.7,0.2,0.4,-1.3,6.8,1.94,0.6,18.0,4.0,46.9,21.7,7.3
Willy Hernangomez,CHA,C,7.3,51.9,38.5,2.0,3.3,1.0,0.3,0.3,-1.6,11.2,1.03,13.0,24.0,12.2,58.7,20.6,11.8
Lance Stephenson,LAL,G,7.2,42.6,37.1,0.5,2.7,2.1,0.6,0.1,-1.6,17.5,1.63,2.6,15.0,12.4,52.9,19.7,8.8
Justin Jackson,DAL,F,7.2,44.7,35.5,0.5,2.1,1.2,0.4,0.2,-0.6,8.1,3.31,2.5,9.6,4.5,56.1,14.1,7.6
Luol Deng,MIN,F,7.1,50.0,31.8,0.9,2.4,0.8,0.7,0.4,4.0,6.2,1.29,4.9,12.5,8.5,58.8,15.5,9.3
Joakim Noah,MEM,C,7.1,51.6,0.0,1.4,4.3,2.1,0.5,0.7,0.1,20.2,1.78,7.8,24.7,12.4,57.1,19.1,14.2
Harry Giles III,SAC,F-C,7.0,50.3,0.0,1.1,2.7,1.5,0.5,0.4,-1.8,15.5,1.16,7.6,17.1,13.3,52.6,22.7,9.0
Derrick Jones Jr.,MIA,F-G,7.0,49.4,30.8,1.6,2.4,0.6,0.8,0.7,-0.4,4.9,0.86,7.6,11.9,9.4,55.9,15.1,8.1
Mike Muscala,LAL,F-C,7.0,40.2,34.8,0.9,2.9,1.2,0.3,0.6,0.5,8.1,1.58,4.1,13.3,9.2,56.4,13.8,7.0
