PLAYER,TEAM,POSITION,FGM_<5,FG%_<5,FGM_5-9,FG%_5-9,FGM_10-14,FG%_10-14,FGM_15-19,FG%_15-19,FGM_20-24,FG%_20-24,FGM_25-29,FG%_25-29
JaVale McGee,LAL,C,4.5,71.4,0.5,38.0,0.2,37.1,0.1,41.2,0.0,25.0,0.0,12.5
E'Twaun Moore,NOP,G,1.7,61.0,0.9,46.1,0.5,46.6,0.3,46.9,0.8,37.8,0.7,43.9
Willie Cauley-Stein,SAC,C,4.3,63.5,0.3,28.7,0.2,38.2,0.3,33.8,0.0,0.0,0.0,100.0
Jae Crowder,UTA,F,1.4,59.4,0.1,40.0,0.0,12.5,0.1,54.5,1.4,35.5,1.0,32.9
Derrick Favors,UTA,F-C,3.9,71.7,0.3,38.5,0.2,42.1,0.2,44.4,0.2,19.5,0.0,33.3
Bryn Forbes,SAS,G,0.7,54.7,0.4,46.3,0.3,41.8,0.7,51.9,0.8,42.0,1.5,42.7
D.J. Augustin,ORL,G,1.6,58.7,0.2,34.5,0.2,35.6,0.2,48.6,0.7,48.7,1.0,40.2
Kent Bazemore,ATL,G,1.9,54.9,0.1,24.4,0.2,30.2,0.4,42.4,0.8,33.8,0.8,33.3
Josh Jackson,PHX,F,2.1,51.1,0.4,29.5,0.4,41.3,0.4,44.4,0.5,33.9,0.5,31.9
Will Barton,DEN,G,1.6,53.1,0.5,36.4,0.3,40.5,0.2,30.3,0.9,40.9,0.8,30.3
Gordon Hayward,BOS,F,1.5,62.1,0.4,56.4,0.5,47.1,0.4,40.8,0.7,35.5,0.6,35.5
Kentavious Caldwell-Pope,LAL,G,1.3,63.6,0.1,38.9,0.2,37.8,0.5,47.5,0.9,38.9,1.0,33.1
Malik Beasley,DEN,G,1.5,65.4,0.2,37.0,0.2,45.7,0.3,46.3,1.1,43.5,1.0,38.0
Reggie Bullock,LAL,G-F,0.8,57.0,0.1,28.6,0.1,28.6,0.5,53.8,1.1,42.5,1.3,35.4
Kris Dunn,CHI,G,1.8,49.1,0.7,42.1,0.8,44.3,0.5,35.7,0.4,37.0,0.5,34.8
Darren Collison,IND,G,1.4,56.8,0.0,13.6,0.3,52.3,0.9,42.9,0.9,50.4,0.5,37.7
Rodney Hood,POR,G,0.9,61.1,0.5,40.7,0.6,45.3,0.6,43.3,0.8,42.1,0.6,33.1
DeMarre Carroll,BKN,F,1.3,56.7,0.2,31.3,0.2,31.6,0.1,25.0,0.8,34.4,0.9,34.3
Alex Len,ATL,C,2.8,61.2,0.2,34.7,0.1,31.6,0.1,23.5,0.6,34.1,0.4,40.0
DeAndre Jordan,NYK,C,4.0,67.7,0.1,34.5,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0
Fred VanVleet,TOR,G,1.4,48.9,0.1,33.3,0.1,33.3,0.4,51.0,0.7,37.0,1.1,36.4
Tristan Thompson,CLE,C-F,3.0,59.2,1.3,47.8,0.4,40.0,0.0,14.3,0.0,50.0,0.0,0.0
J.J. Barea,DAL,G,1.6,57.1,0.5,33.9,0.5,43.5,0.4,43.6,0.5,41.3,0.7,28.4
Jarrett Allen,BKN,C,3.8,66.7,0.3,44.8,0.0,16.7,0.0,0.0,0.1,14.3,0.0,0.0
Trey Burke,DAL,G,1.5,56.3,0.4,38.2,0.5,36.0,0.6,41.5,0.5,41.1,0.7,36.4
Tyler Johnson,PHX,G,1.4,60.6,0.4,41.7,0.3,38.3,0.1,29.4,0.5,28.4,1.1,36.0
Allonzo Trier,NYK,G,1.9,54.1,0.1,33.3,0.3,41.2,0.4,33.3,0.3,39.3,0.6,40.2
Shai Gilgeous-Alexander,LAC,G,1.9,59.0,0.4,44.4,0.6,39.6,0.5,45.8,0.4,37.4,0.2,35.8
Dewayne Dedmon,ATL,C,2.2,67.3,0.2,32.6,0.2,42.3,0.1,31.8,0.6,39.2,0.7,37.0
Taj Gibson,MIN,F,3.3,65.8,0.4,35.6,0.2,40.6,0.2,53.1,0.2,35.9,0.0,16.7
Damyean Dotson,NYK,G,1.0,56.2,0.1,14.3,0.2,41.9,0.6,44.0,1.1,47.3,1.0,31.7
Elfrid Payton,NOP,G,2.5,50.5,0.8,39.0,0.1,50.0,0.1,60.0,0.2,30.4,0.6,32.9
Dario Saric,MIN,F,1.8,61.0,0.1,30.0,0.0,16.0,0.2,39.0,0.6,34.2,0.9,36.9
Dwight Powell,DAL,F-C,3.1,75.5,0.1,39.1,0.0,20.0,0.0,0.0,0.2,37.0,0.3,26.4
Thomas Bryant,WAS,C,3.2,77.9,0.3,47.5,0.1,40.9,0.3,46.7,0.1,25.8,0.4,36.0
Marco Belinelli,SAS,G-F,0.6,54.9,0.2,53.1,0.2,35.3,0.3,35.5,0.9,41.6,1.3,38.7
Justin Holiday,MEM,F-G,1.0,58.3,0.1,15.6,0.2,38.6,0.3,38.4,1.1,35.7,1.0,33.8
Kenneth Faried,HOU,F-C,3.6,64.6,0.2,30.4,0.1,80.0,0.1,66.7,0.1,40.0,0.1,30.8
Monte Morris,DEN,G,1.2,56.7,0.7,54.6,0.7,56.4,0.4,38.5,0.8,44.2,0.4,40.2
Wendell Carter Jr.,CHI,C,2.5,65.9,0.5,36.1,0.4,30.4,0.5,46.7,0.1,19.2,0.1,23.1
Wayne Ellington,DET,G,0.6,61.5,0.1,58.3,0.0,33.3,0.1,50.0,1.2,37.5,1.4,35.7
Danny Green,TOR,G-F,0.7,58.2,0.1,31.4,0.2,53.6,0.2,44.4,1.5,46.8,1.1,43.3
Tyreke Evans,IND,G,2.0,44.8,0.2,28.2,0.1,44.4,0.2,30.0,0.4,31.0,0.9,37.0
Cody Zeller,CHA,C,3.0,60.6,0.6,54.5,0.1,21.1,0.0,0.0,0.0,25.0,0.1,33.3
Marvin Williams,CHA,F,1.1,56.4,0.5,45.2,0.1,34.6,0.0,33.3,1.0,41.7,1.0,33.8
Kelly Olynyk,MIA,F,1.5,67.8,0.2,53.1,0.1,27.8,0.1,47.1,0.7,39.3,0.8,32.4
Kadeem Allen,NYK,G,1.5,60.4,0.3,30.0,0.5,36.0,0.2,30.0,0.4,50.0,0.5,47.6
Avery Bradley,MEM,G,0.8,45.7,0.3,37.2,0.2,38.2,0.8,46.4,1.2,39.7,0.6,36.5
Derrick White,SAS,G,1.6,58.9,0.6,49.4,0.4,42.6,0.5,56.5,0.4,37.5,0.4,30.5
Lonzo Ball,LAL,G,1.9,56.3,0.1,29.2,0.1,21.1,0.1,30.0,0.5,30.6,1.2,35.2
Patty Mills,SAS,G,0.8,62.9,0.1,48.0,0.1,42.9,0.3,32.5,1.0,41.5,1.1,38.3
